survey_start_date,survey_end_date,chain_id,business_id,score,category,date,country_id,order_id,comment
00:00.0,00:00.0,87,5855,10,Promoter,19:30.0,10,18735,??????
00:00.0,00:00.0,25,2034,8,Passive,46:01.0,12,6055,es seguro
00:00.0,00:00.0,77,5929,7,Passive,32:40.0,13,10797,No reason
00:00.0,00:00.0,71,6840,9,Promoter,49:21.0,13,15756,ok
00:00.0,00:00.0,87,5866,10,Promoter,00:44.0,10,19028,excellent 
00:00.0,00:00.0,31,2199,10,Promoter,35:44.0,12,5755,si
00:00.0,00:00.0,25,849,10,Promoter,54:47.0,12,6238,Facilidad 
00:00.0,00:00.0,77,8321,1,Detractor,12:56.0,13,67801,na
00:00.0,00:00.0,87,5855,10,Promoter,15:27.0,10,19826,??
00:00.0,00:00.0,87,5855,10,Promoter,57:32.0,10,20211,????
00:00.0,00:00.0,87,7675,10,Promoter,24:02.0,10,27121,Happy with the service
00:00.0,00:00.0,87,5855,10,Promoter,38:27.0,10,19420,??
00:00.0,00:00.0,71,7005,9,Promoter,07:33.0,13,17442,ok
00:00.0,00:00.0,31,2236,10,Promoter,18:50.0,12,5806,...
00:00.0,00:00.0,77,8902,5,Detractor,24:22.0,13,67798,laggy
00:00.0,00:00.0,77,8321,1,Detractor,32:24.0,13,74253,na
00:00.0,00:00.0,77,8321,1,Detractor,45:30.0,13,80877,na
00:00.0,00:00.0,77,10558,10,Promoter,25:02.0,13,51793,.
00:00.0,00:00.0,77,10553,10,Promoter,24:32.0,13,62988,promo
00:00.0,00:00.0,77,18430,9,Promoter,00:24.0,13,141017,good app
00:00.0,00:00.0,77,8321,1,Detractor,15:09.0,13,66927,not updated
00:00.0,00:00.0,71,21040,7,Passive,13:24.0,13,141846,s
00:00.0,00:00.0,71,21040,7,Passive,38:23.0,13,131984,g
00:00.0,00:00.0,71,5753,10,Promoter,42:24.0,13,17366,good
00:00.0,00:00.0,25,1723,10,Promoter,03:52.0,12,5939,buenas ofertas 
00:00.0,00:00.0,25,2944,2,Detractor,49:21.0,12,6342,falta bastante produco
00:00.0,00:00.0,25,1005,10,Promoter,38:16.0,12,5989,porque es bueno
00:00.0,00:00.0,25,1283,10,Promoter,15:25.0,12,6025,es facil de administrar
00:00.0,00:00.0,25,1160,10,Promoter,37:19.0,12,6061,efectivo y rapido
00:00.0,00:00.0,25,2452,10,Promoter,38:14.0,12,6079,Por que tienen buenas promociones 
00:00.0,00:00.0,25,1001,10,Promoter,57:54.0,12,5814,promociones y envio gratis 
00:00.0,00:00.0,25,859,10,Promoter,59:57.0,12,5829,Si
00:00.0,00:00.0,25,1769,10,Promoter,13:17.0,12,5992,Buenas promociones
00:00.0,00:00.0,25,1708,9,Promoter,57:26.0,12,5994,megusta la forma de información que nos ofrecen
00:00.0,00:00.0,25,1884,9,Promoter,08:31.0,12,5912,me gudta
00:00.0,00:00.0,25,2047,1,Detractor,05:47.0,12,5981,primero pahas después entregan
00:00.0,00:00.0,25,1715,9,Promoter,50:04.0,12,6042,es eficiente
00:00.0,00:00.0,25,1568,10,Promoter,13:10.0,12,5996,Ok
00:00.0,00:00.0,25,1876,10,Promoter,05:57.0,12,6062,Promociones 
00:00.0,00:00.0,25,841,9,Promoter,08:30.0,12,5998,por algunas buenas ofertas
00:00.0,00:00.0,25,1030,8,Passive,56:41.0,12,5980,buenas promociones
00:00.0,00:00.0,25,1683,8,Passive,41:27.0,12,6049,porque si
00:00.0,00:00.0,25,1689,1,Detractor,18:13.0,12,6063,falta catalogo
00:00.0,00:00.0,25,859,10,Promoter,13:31.0,12,6622,Si
00:00.0,00:00.0,25,860,8,Passive,25:24.0,12,6437,facilidad
00:00.0,00:00.0,25,1708,9,Promoter,59:59.0,12,7645,por el excelente manejo y promoción
00:00.0,00:00.0,25,1708,9,Promoter,58:30.0,12,6449,me gusta mucho las promociones
00:00.0,00:00.0,25,1769,10,Promoter,25:02.0,12,7659,Muy buenas ofertas 
00:00.0,00:00.0,34,4618,10,Promoter,49:39.0,3,4958,10
00:00.0,00:00.0,34,4526,8,Passive,21:14.0,3,4983,bueno pero no llega el Dia que uno lo programa
00:00.0,00:00.0,25,2047,1,Detractor,49:08.0,12,6733,rara la vez hay problemo
00:00.0,00:00.0,25,1735,8,Passive,48:55.0,12,7778,"el ejecutivo a cargo de la ruta es una persona muy amable muy dedicado a su trabajo y sabe vender muy bien, y la aplicacion es facil de usar ya que el ejecutivo enseña muy bien su funcionamiento"
00:00.0,00:00.0,25,1102,10,Promoter,26:04.0,12,7054,facidad
00:00.0,00:00.0,25,1683,8,Passive,59:35.0,12,7051,no tienen todos los productos incluidos en su sistema
00:00.0,00:00.0,25,1136,6,Detractor,45:34.0,12,7621,facilidad
00:00.0,00:00.0,25,841,9,Promoter,05:30.0,12,7558,por que puede mejorsr
00:00.0,00:00.0,25,1756,10,Promoter,47:17.0,12,8296,por facilidad de aplicacion
00:00.0,00:00.0,25,1059,8,Passive,14:25.0,12,7655,"porque les falta portafolio, y se enfocan demasiado en company, y son prodyctos que tienen poco desplazamiento"
00:00.0,00:00.0,25,1585,10,Promoter,30:47.0,12,7708,promociones 
00:00.0,00:00.0,25,1719,10,Promoter,31:52.0,12,7769,facilidad de usar la app
00:00.0,00:00.0,25,1036,7,Passive,26:15.0,12,7784,"con la ayuda del ejecutivo es facil entender la app, salen buenos precios solo que aveces hay productos que no tienen tanto movimiento y siempre estan en promocion, ej. chivas, martell beefeter"
00:00.0,00:00.0,25,859,10,Promoter,14:24.0,12,7639,Bien
00:00.0,00:00.0,25,1638,10,Promoter,41:01.0,12,8302,facil de usar
00:00.0,00:00.0,25,860,10,Promoter,07:44.0,12,8731,facilidad
00:00.0,00:00.0,25,1641,10,Promoter,11:00.0,12,8303,por la facicidad
00:00.0,00:00.0,25,1760,8,Passive,55:32.0,12,8293,facilidad
00:00.0,00:00.0,25,1950,10,Promoter,05:56.0,12,9082,todobien
00:00.0,00:00.0,25,1005,10,Promoter,00:32.0,12,8352,bueno
00:00.0,00:00.0,25,617,10,Promoter,57:37.0,12,8377,facilidad de la apk
00:00.0,00:00.0,25,1764,7,Passive,32:23.0,12,9021,precios 
00:00.0,00:00.0,25,1252,9,Promoter,44:15.0,12,9065,facilitar 
00:00.0,00:00.0,25,1813,9,Promoter,36:38.0,12,8534,facilidad
00:00.0,00:00.0,25,1036,5,Detractor,02:34.0,12,9225,falta mucho producto
00:00.0,00:00.0,25,1568,10,Promoter,14:48.0,12,8643,siempre
00:00.0,00:00.0,25,1388,7,Passive,48:23.0,12,8818,esta lenta e incompleto el catálogo 
00:00.0,00:00.0,25,1044,9,Promoter,54:36.0,12,8836,eficaz 
00:00.0,00:00.0,25,1082,10,Promoter,33:42.0,12,8907,me gustan sus propuestas 
00:00.0,00:00.0,25,1956,9,Promoter,50:20.0,12,9059,facil uso
00:00.0,00:00.0,25,1102,8,Passive,46:42.0,12,9362,gd
00:00.0,00:00.0,25,1568,10,Promoter,15:04.0,12,10259,Exelente
00:00.0,00:00.0,25,1059,8,Passive,09:17.0,12,10306,"porque el portafolio es muy limitado, y la atencion del ejecutivo es excelente"
00:00.0,00:00.0,25,1231,10,Promoter,58:50.0,12,10373,por facilidad
00:00.0,00:00.0,25,1813,10,Promoter,06:27.0,12,11170,fsculyd
00:00.0,00:00.0,25,5765,10,Promoter,03:30.0,12,11085,por la facilidad de relizar un pedido 
00:00.0,00:00.0,25,2047,4,Detractor,42:08.0,12,11086,.
